               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.027412,            0.024798,           0.0011006,             0.71591,             0.78195,             0.76407,             0.41835,             0.03601,            0.014637,          0.00048311,            0.005578,            0.005578,            0.005578
                 136,            0.027283,            0.024932,           0.0010121,             0.55561,             0.63553,             0.58634,              0.3085,             0.03572,            0.017319,          0.00042601,            0.005545,            0.005545,            0.005545
                 137,            0.027373,            0.024684,          0.00087637,             0.64746,             0.79593,             0.74809,             0.37485,            0.039591,            0.015577,           0.0003753,            0.005512,            0.005512,            0.005512
                 138,            0.027599,            0.025096,           0.0011662,             0.71461,             0.75855,             0.75378,             0.38039,            0.040028,            0.015287,          0.00031293,            0.005479,            0.005479,            0.005479
                 139,            0.027831,            0.024583,          0.00083796,             0.57515,             0.65652,             0.60244,             0.32636,            0.039529,            0.016807,           0.0008885,            0.005446,            0.005446,            0.005446
                 140,            0.026864,            0.024669,          0.00076661,             0.72611,             0.71275,             0.74591,             0.37885,            0.039388,            0.016001,            0.000336,            0.005413,            0.005413,            0.005413
                 141,            0.027063,             0.02382,          0.00094698,             0.65687,             0.79915,              0.7408,             0.35826,            0.039019,            0.015014,          0.00036939,             0.00538,             0.00538,             0.00538
                 142,            0.026424,            0.024339,          0.00082314,             0.64795,             0.84274,             0.74715,             0.41747,            0.038543,            0.013979,          0.00037218,            0.005347,            0.005347,            0.005347
                 143,            0.027251,            0.024122,          0.00082283,             0.78408,             0.82842,             0.79157,             0.40328,            0.038788,            0.013955,          0.00041918,            0.005314,            0.005314,            0.005314
                 144,            0.026834,            0.024469,          0.00071893,             0.65734,             0.77238,             0.74331,             0.38534,            0.039383,            0.014977,          0.00033625,            0.005281,            0.005281,            0.005281
                 145,            0.026525,            0.024345,          0.00086284,             0.60358,             0.79714,             0.68687,             0.32577,            0.039515,            0.014958,          0.00032695,            0.005248,            0.005248,            0.005248
                 146,            0.027145,            0.024206,          0.00083663,             0.62665,             0.84963,             0.73105,             0.38423,            0.037028,            0.014121,          0.00032524,            0.005215,            0.005215,            0.005215
                 147,            0.026658,            0.024171,          0.00066432,              0.7413,               0.749,             0.74398,             0.37807,            0.037045,            0.013481,          0.00029031,            0.005182,            0.005182,            0.005182
                 148,            0.026165,            0.023898,          0.00071345,             0.70822,             0.80213,             0.81164,             0.45502,             0.03915,            0.013479,          0.00035692,            0.005149,            0.005149,            0.005149
                 149,            0.026484,            0.024285,          0.00068033,             0.66698,             0.87596,             0.80525,             0.42074,            0.038957,            0.014197,          0.00048906,            0.005116,            0.005116,            0.005116
                 150,             0.02614,            0.023593,          0.00050165,             0.65694,             0.81849,              0.7775,             0.40892,            0.037035,            0.014274,          0.00049498,            0.005083,            0.005083,            0.005083
                 151,            0.025885,            0.023501,          0.00061823,             0.67896,             0.79141,             0.73575,             0.33715,            0.038454,            0.015684,          0.00041746,             0.00505,             0.00505,             0.00505
                 152,            0.027084,            0.023534,          0.00069662,             0.70258,              0.7868,             0.73387,             0.35553,            0.037862,            0.013459,          0.00038391,            0.005017,            0.005017,            0.005017
                 153,            0.026773,            0.024247,          0.00072677,             0.76133,             0.74253,             0.77053,             0.41714,            0.037512,            0.013791,          0.00034036,            0.004984,            0.004984,            0.004984
                 154,             0.02624,            0.023849,          0.00071336,              0.7599,              0.7658,             0.78406,             0.39194,            0.038302,            0.014723,          0.00031341,            0.004951,            0.004951,            0.004951
                 155,            0.026226,            0.023712,          0.00082915,             0.72841,             0.74782,             0.74327,             0.39981,             0.03943,            0.014796,          0.00025179,            0.004918,            0.004918,            0.004918
                 156,            0.026498,             0.02364,           0.0009753,             0.72833,             0.76575,             0.74386,             0.39543,            0.038261,             0.01449,          0.00029639,            0.004885,            0.004885,            0.004885
                 157,            0.025971,            0.023722,           0.0009612,             0.71421,              0.7391,             0.72511,             0.39177,             0.03934,            0.015007,          0.00031823,            0.004852,            0.004852,            0.004852
                 158,            0.025971,            0.023684,          0.00064583,             0.61651,             0.77018,             0.73224,             0.40027,            0.039687,            0.015623,          0.00027832,            0.004819,            0.004819,            0.004819
                 159,            0.026383,            0.024132,          0.00082992,             0.63029,              0.7584,              0.7153,             0.38768,            0.039642,            0.014803,          0.00029673,            0.004786,            0.004786,            0.004786
                 160,            0.025863,            0.023621,           0.0006626,             0.60914,             0.81071,             0.73177,             0.40765,            0.038681,             0.01417,          0.00034563,            0.004753,            0.004753,            0.004753
